"名前","ふりがな","時代","関連（場所・分野）","肩書き","説明","アイコン","図鑑掲載"
"チャンドラグプタ","チャンドラグプタ","古代の大国の時代","ペルシャ・インド・中国","広い国をまとめた人","チャンドラグプタはペルシャ・インド・中国で王朝、官僚、思想、宗教、交易に関わりました。広い土地を治める政治と、多様な人々を結ぶしくみを示します。","👑","図鑑"
"カウティリヤ","カウティリヤ","古代の大国の時代","ペルシャ・インド・中国","広い国をまとめた人","カウティリヤはペルシャ・インド・中国で王朝、官僚、思想、宗教、交易に関わりました。広い土地を治める政治と、多様な人々を結ぶしくみを示します。","👑","図鑑"
"カニシカ王","カニシカ王","古代の大国の時代","ペルシャ・インド・中国","広い国をまとめた人","カニシカ王はペルシャ・インド・中国で王朝、官僚、思想、宗教、交易に関わりました。広い土地を治める政治と、多様な人々を結ぶしくみを示します。","👑","図鑑"
"チャンドラグプタ2世","チャンドラグプタ2世","古代の大国の時代","ペルシャ・インド・中国","広い国をまとめた人","チャンドラグプタ2世はペルシャ・インド・中国で王朝、官僚、思想、宗教、交易に関わりました。広い土地を治める政治と、多様な人々を結ぶしくみを示します。","👑","図鑑"
"カーリダーサ","カーリダーサ","古代の大国の時代","ペルシャ・インド・中国","広い国をまとめた人","カーリダーサはペルシャ・インド・中国で王朝、官僚、思想、宗教、交易に関わりました。広い土地を治める政治と、多様な人々を結ぶしくみを示します。","👑","図鑑"
"パーニニ","パーニニ","古代の大国の時代","ペルシャ・インド・中国","広い国をまとめた人","パーニニはペルシャ・インド・中国で王朝、官僚、思想、宗教、交易に関わりました。広い土地を治める政治と、多様な人々を結ぶしくみを示します。","👑","図鑑"
"荘子","荘子","古代の大国の時代","ペルシャ・インド・中国","広い国をまとめた人","荘子はペルシャ・インド・中国で王朝、官僚、思想、宗教、交易に関わりました。広い土地を治める政治と、多様な人々を結ぶしくみを示します。","👑","図鑑"
"老子","老子","古代の大国の時代","ペルシャ・インド・中国","広い国をまとめた人","老子はペルシャ・インド・中国で王朝、官僚、思想、宗教、交易に関わりました。広い土地を治める政治と、多様な人々を結ぶしくみを示します。","👑","図鑑"
"孟子","孟子","古代の大国の時代","ペルシャ・インド・中国","広い国をまとめた人","孟子はペルシャ・インド・中国で王朝、官僚、思想、宗教、交易に関わりました。広い土地を治める政治と、多様な人々を結ぶしくみを示します。","👑","図鑑"
"荀子","荀子","古代の大国の時代","ペルシャ・インド・中国","広い国をまとめた人","荀子はペルシャ・インド・中国で王朝、官僚、思想、宗教、交易に関わりました。広い土地を治める政治と、多様な人々を結ぶしくみを示します。","👑","図鑑"
"韓非","韓非","古代の大国の時代","ペルシャ・インド・中国","広い国をまとめた人","韓非はペルシャ・インド・中国で王朝、官僚、思想、宗教、交易に関わりました。広い土地を治める政治と、多様な人々を結ぶしくみを示します。","👑","図鑑"
"李斯","李斯","古代の大国の時代","ペルシャ・インド・中国","広い国をまとめた人","李斯はペルシャ・インド・中国で王朝、官僚、思想、宗教、交易に関わりました。広い土地を治める政治と、多様な人々を結ぶしくみを示します。","👑","図鑑"
"項羽","項羽","古代の大国の時代","ペルシャ・インド・中国","広い国をまとめた人","項羽はペルシャ・インド・中国で王朝、官僚、思想、宗教、交易に関わりました。広い土地を治める政治と、多様な人々を結ぶしくみを示します。","👑","図鑑"
"劉邦","劉邦","古代の大国の時代","ペルシャ・インド・中国","広い国をまとめた人","劉邦はペルシャ・インド・中国で王朝、官僚、思想、宗教、交易に関わりました。広い土地を治める政治と、多様な人々を結ぶしくみを示します。","👑","図鑑"
"呂后","呂后","古代の大国の時代","ペルシャ・インド・中国","広い国をまとめた人","呂后はペルシャ・インド・中国で王朝、官僚、思想、宗教、交易に関わりました。広い土地を治める政治と、多様な人々を結ぶしくみを示します。","👑","図鑑"
"武帝","武帝","古代の大国の時代","ペルシャ・インド・中国","広い国をまとめた人","武帝はペルシャ・インド・中国で王朝、官僚、思想、宗教、交易に関わりました。広い土地を治める政治と、多様な人々を結ぶしくみを示します。","👑","カタログのみ"
"司馬遷","司馬遷","古代の大国の時代","ペルシャ・インド・中国","広い国をまとめた人","司馬遷はペルシャ・インド・中国で王朝、官僚、思想、宗教、交易に関わりました。広い土地を治める政治と、多様な人々を結ぶしくみを示します。","👑","カタログのみ"
"張騫","張騫","古代の大国の時代","ペルシャ・インド・中国","広い国をまとめた人","張騫はペルシャ・インド・中国で王朝、官僚、思想、宗教、交易に関わりました。広い土地を治める政治と、多様な人々を結ぶしくみを示します。","👑","カタログのみ"
"王莽","王莽","古代の大国の時代","ペルシャ・インド・中国","広い国をまとめた人","王莽はペルシャ・インド・中国で王朝、官僚、思想、宗教、交易に関わりました。広い土地を治める政治と、多様な人々を結ぶしくみを示します。","👑","カタログのみ"
"班固","班固","古代の大国の時代","ペルシャ・インド・中国","広い国をまとめた人","班固はペルシャ・インド・中国で王朝、官僚、思想、宗教、交易に関わりました。広い土地を治める政治と、多様な人々を結ぶしくみを示します。","👑","カタログのみ"
"班昭","班昭","古代の大国の時代","ペルシャ・インド・中国","広い国をまとめた人","班昭はペルシャ・インド・中国で王朝、官僚、思想、宗教、交易に関わりました。広い土地を治める政治と、多様な人々を結ぶしくみを示します。","👑","カタログのみ"
"張衡","張衡","古代の大国の時代","ペルシャ・インド・中国","広い国をまとめた人","張衡はペルシャ・インド・中国で王朝、官僚、思想、宗教、交易に関わりました。広い土地を治める政治と、多様な人々を結ぶしくみを示します。","👑","カタログのみ"
"蔡倫","蔡倫","古代の大国の時代","ペルシャ・インド・中国","広い国をまとめた人","蔡倫はペルシャ・インド・中国で王朝、官僚、思想、宗教、交易に関わりました。広い土地を治める政治と、多様な人々を結ぶしくみを示します。","👑","カタログのみ"
"華佗","華佗","古代の大国の時代","ペルシャ・インド・中国","広い国をまとめた人","華佗はペルシャ・インド・中国で王朝、官僚、思想、宗教、交易に関わりました。広い土地を治める政治と、多様な人々を結ぶしくみを示します。","👑","カタログのみ"
"曹操","曹操","古代の大国の時代","ペルシャ・インド・中国","広い国をまとめた人","曹操はペルシャ・インド・中国で王朝、官僚、思想、宗教、交易に関わりました。広い土地を治める政治と、多様な人々を結ぶしくみを示します。","👑","カタログのみ"
"劉備","劉備","古代の大国の時代","ペルシャ・インド・中国","広い国をまとめた人","劉備はペルシャ・インド・中国で王朝、官僚、思想、宗教、交易に関わりました。広い土地を治める政治と、多様な人々を結ぶしくみを示します。","👑","カタログのみ"
"諸葛亮","諸葛亮","古代の大国の時代","ペルシャ・インド・中国","広い国をまとめた人","諸葛亮はペルシャ・インド・中国で王朝、官僚、思想、宗教、交易に関わりました。広い土地を治める政治と、多様な人々を結ぶしくみを示します。","👑","カタログのみ"
"卑弥呼","卑弥呼","古代の大国の時代","ペルシャ・インド・中国","広い国をまとめた人","卑弥呼はペルシャ・インド・中国で王朝、官僚、思想、宗教、交易に関わりました。広い土地を治める政治と、多様な人々を結ぶしくみを示します。","👑","カタログのみ"
"パウロ","パウロ","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","パウロはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","図鑑"
"ペテロ","ペテロ","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","ペテロはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","図鑑"
"アウグスティヌス","アウグスティヌス","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","アウグスティヌスはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","図鑑"
"ヒエロニムス","ヒエロニムス","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","ヒエロニムスはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","図鑑"
"アタナシウス","アタナシウス","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","アタナシウスはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","図鑑"
"アリウス","アリウス","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","アリウスはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","図鑑"
"ベネディクトゥス","ベネディクトゥス","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","ベネディクトゥスはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","図鑑"
"グレゴリウス1世","グレゴリウス1世","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","グレゴリウス1世はユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","図鑑"
"キュリロス","キュリロス","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","キュリロスはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","図鑑"
"メトディオス","メトディオス","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","メトディオスはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","図鑑"
"ナーガールジュナ","ナーガールジュナ","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","ナーガールジュナはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","図鑑"
"アサンガ","アサンガ","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","アサンガはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","図鑑"
"ヴァスバンドゥ","ヴァスバンドゥ","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","ヴァスバンドゥはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","図鑑"
"鳩摩羅什","鳩摩羅什","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","鳩摩羅什はユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","図鑑"
"達磨","達磨","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","達磨はユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","図鑑"
"慧遠","慧遠","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","慧遠はユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","図鑑"
"法顕","法顕","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","法顕はユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","図鑑"
"義浄","義浄","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","義浄はユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","図鑑"
"空海","空海","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","空海はユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","図鑑"
"最澄","最澄","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","最澄はユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","図鑑"
"鑑真","鑑真","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","鑑真はユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","カタログのみ"
"聖徳太子","聖徳太子","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","聖徳太子はユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","カタログのみ"
"推古天皇","推古天皇","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","推古天皇はユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","カタログのみ"
"アル・フワーリズミー","アル・フワーリズミー","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","アル・フワーリズミーはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","カタログのみ"
"アル・キンディー","アル・キンディー","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","アル・キンディーはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","カタログのみ"
"アル・ラーズィー","アル・ラーズィー","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","アル・ラーズィーはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","カタログのみ"
"アル・ファーラービー","アル・ファーラービー","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","アル・ファーラービーはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","カタログのみ"
"イブン・シーナー","イブン・シーナー","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","イブン・シーナーはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","カタログのみ"
"イブン・ルシュド","イブン・ルシュド","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","イブン・ルシュドはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","カタログのみ"
"アル・ビールーニー","アル・ビールーニー","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","アル・ビールーニーはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","カタログのみ"
"ファーティマ・アル・フィフリーヤ","ファーティマ・アル・フィフリーヤ","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","ファーティマ・アル・フィフリーヤはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","カタログのみ"
"ラービア・アルアダウィーヤ","ラービア・アルアダウィーヤ","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","ラービア・アルアダウィーヤはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","カタログのみ"
"バスラのハサン","バスラのハサン","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","バスラのハサンはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","カタログのみ"
"アリー","アリー","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","アリーはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","カタログのみ"
"アーイシャ","アーイシャ","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","アーイシャはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","カタログのみ"
"ウマル","ウマル","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","ウマルはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","カタログのみ"
"ウスマーン","ウスマーン","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","ウスマーンはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","カタログのみ"
"アブー・バクル","アブー・バクル","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","アブー・バクルはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","カタログのみ"
"ハールーン・アッラシード","ハールーン・アッラシード","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","ハールーン・アッラシードはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","カタログのみ"
"マアムーン","マアムーン","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","マアムーンはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","カタログのみ"
"ビラール","ビラール","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","ビラールはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","カタログのみ"
"バヤジード・バスターミー","バヤジード・バスターミー","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","バヤジード・バスターミーはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","カタログのみ"
"ルーミー","ルーミー","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","ルーミーはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","カタログのみ"
"イブン・アラビー","イブン・アラビー","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","イブン・アラビーはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","カタログのみ"
"トマス・アクィナス","トマス・アクィナス","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","トマス・アクィナスはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","カタログのみ"
"フランチェスコ","フランチェスコ","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","フランチェスコはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","カタログのみ"
"ヒルデガルト","ヒルデガルト","宗教と文化が広がった時代","ユーラシアとアフリカ","信仰と学問を伝えた人","ヒルデガルトはユーラシアとアフリカで宗教、翻訳、神学、修道院、寺院、学びの場に関わりました。信仰が文化や社会の支えにも支配の力にもなったことを示します。","🕊️","カタログのみ"
"太宗","太宗","交易と王国の時代","東アジアと中央アジア","交易と王朝を動かした人","太宗は東アジアと中央アジアで王朝政治、草原の交流、紙や印刷、海と陸の交易に関わりました。人と物と考えが広く移動した時代を表します。","🐫","図鑑"
"則天武后","則天武后","交易と王国の時代","東アジアと中央アジア","交易と王朝を動かした人","則天武后は東アジアと中央アジアで王朝政治、草原の交流、紙や印刷、海と陸の交易に関わりました。人と物と考えが広く移動した時代を表します。","🐫","図鑑"
"玄宗","玄宗","交易と王国の時代","東アジアと中央アジア","交易と王朝を動かした人","玄宗は東アジアと中央アジアで王朝政治、草原の交流、紙や印刷、海と陸の交易に関わりました。人と物と考えが広く移動した時代を表します。","🐫","図鑑"
"楊貴妃","楊貴妃","交易と王国の時代","東アジアと中央アジア","交易と王朝を動かした人","楊貴妃は東アジアと中央アジアで王朝政治、草原の交流、紙や印刷、海と陸の交易に関わりました。人と物と考えが広く移動した時代を表します。","🐫","図鑑"
"安禄山","安禄山","交易と王国の時代","東アジアと中央アジア","交易と王朝を動かした人","安禄山は東アジアと中央アジアで王朝政治、草原の交流、紙や印刷、海と陸の交易に関わりました。人と物と考えが広く移動した時代を表します。","🐫","図鑑"
"杜甫","杜甫","交易と王国の時代","東アジアと中央アジア","交易と王朝を動かした人","杜甫は東アジアと中央アジアで王朝政治、草原の交流、紙や印刷、海と陸の交易に関わりました。人と物と考えが広く移動した時代を表します。","🐫","図鑑"
"李白","李白","交易と王国の時代","東アジアと中央アジア","交易と王朝を動かした人","李白は東アジアと中央アジアで王朝政治、草原の交流、紙や印刷、海と陸の交易に関わりました。人と物と考えが広く移動した時代を表します。","🐫","図鑑"
"白居易","白居易","交易と王国の時代","東アジアと中央アジア","交易と王朝を動かした人","白居易は東アジアと中央アジアで王朝政治、草原の交流、紙や印刷、海と陸の交易に関わりました。人と物と考えが広く移動した時代を表します。","🐫","図鑑"
"韓愈","韓愈","交易と王国の時代","東アジアと中央アジア","交易と王朝を動かした人","韓愈は東アジアと中央アジアで王朝政治、草原の交流、紙や印刷、海と陸の交易に関わりました。人と物と考えが広く移動した時代を表します。","🐫","図鑑"
"柳宗元","柳宗元","交易と王国の時代","東アジアと中央アジア","交易と王朝を動かした人","柳宗元は東アジアと中央アジアで王朝政治、草原の交流、紙や印刷、海と陸の交易に関わりました。人と物と考えが広く移動した時代を表します。","🐫","図鑑"
"王安石","王安石","交易と王国の時代","東アジアと中央アジア","交易と王朝を動かした人","王安石は東アジアと中央アジアで王朝政治、草原の交流、紙や印刷、海と陸の交易に関わりました。人と物と考えが広く移動した時代を表します。","🐫","図鑑"
"司馬光","司馬光","交易と王国の時代","東アジアと中央アジア","交易と王朝を動かした人","司馬光は東アジアと中央アジアで王朝政治、草原の交流、紙や印刷、海と陸の交易に関わりました。人と物と考えが広く移動した時代を表します。","🐫","図鑑"
"蘇軾","蘇軾","交易と王国の時代","東アジアと中央アジア","交易と王朝を動かした人","蘇軾は東アジアと中央アジアで王朝政治、草原の交流、紙や印刷、海と陸の交易に関わりました。人と物と考えが広く移動した時代を表します。","🐫","図鑑"
"朱熹","朱熹","交易と王国の時代","東アジアと中央アジア","交易と王朝を動かした人","朱熹は東アジアと中央アジアで王朝政治、草原の交流、紙や印刷、海と陸の交易に関わりました。人と物と考えが広く移動した時代を表します。","🐫","図鑑"
"岳飛","岳飛","交易と王国の時代","東アジアと中央アジア","交易と王朝を動かした人","岳飛は東アジアと中央アジアで王朝政治、草原の交流、紙や印刷、海と陸の交易に関わりました。人と物と考えが広く移動した時代を表します。","🐫","図鑑"
"忽必烈","忽必烈","交易と王国の時代","東アジアと中央アジア","交易と王朝を動かした人","忽必烈は東アジアと中央アジアで王朝政治、草原の交流、紙や印刷、海と陸の交易に関わりました。人と物と考えが広く移動した時代を表します。","🐫","図鑑"
"マルコ・ポーロ","マルコ・ポーロ","交易と王国の時代","東アジアと中央アジア","交易と王朝を動かした人","マルコ・ポーロは東アジアと中央アジアで王朝政治、草原の交流、紙や印刷、海と陸の交易に関わりました。人と物と考えが広く移動した時代を表します。","🐫","図鑑"
"ラシードゥッディーン","ラシードゥッディーン","交易と王国の時代","東アジアと中央アジア","交易と王朝を動かした人","ラシードゥッディーンは東アジアと中央アジアで王朝政治、草原の交流、紙や印刷、海と陸の交易に関わりました。人と物と考えが広く移動した時代を表します。","🐫","図鑑"
"バトゥ","バトゥ","交易と王国の時代","東アジアと中央アジア","交易と王朝を動かした人","バトゥは東アジアと中央アジアで王朝政治、草原の交流、紙や印刷、海と陸の交易に関わりました。人と物と考えが広く移動した時代を表します。","🐫","図鑑"
"フレグ","フレグ","交易と王国の時代","東アジアと中央アジア","交易と王朝を動かした人","フレグは東アジアと中央アジアで王朝政治、草原の交流、紙や印刷、海と陸の交易に関わりました。人と物と考えが広く移動した時代を表します。","🐫","カタログのみ"
"ティムール","ティムール","交易と王国の時代","東アジアと中央アジア","交易と王朝を動かした人","ティムールは東アジアと中央アジアで王朝政治、草原の交流、紙や印刷、海と陸の交易に関わりました。人と物と考えが広く移動した時代を表します。","🐫","カタログのみ"
"ウルグ・ベク","ウルグ・ベク","交易と王国の時代","東アジアと中央アジア","交易と王朝を動かした人","ウルグ・ベクは東アジアと中央アジアで王朝政治、草原の交流、紙や印刷、海と陸の交易に関わりました。人と物と考えが広く移動した時代を表します。","🐫","カタログのみ"
"バーブル","バーブル","交易と王国の時代","東アジアと中央アジア","交易と王朝を動かした人","バーブルは東アジアと中央アジアで王朝政治、草原の交流、紙や印刷、海と陸の交易に関わりました。人と物と考えが広く移動した時代を表します。","🐫","カタログのみ"
"アクバル","アクバル","交易と王国の時代","東アジアと中央アジア","交易と王朝を動かした人","アクバルは東アジアと中央アジアで王朝政治、草原の交流、紙や印刷、海と陸の交易に関わりました。人と物と考えが広く移動した時代を表します。","🐫","カタログのみ"
"シャー・ジャハーン","シャー・ジャハーン","交易と王国の時代","東アジアと中央アジア","交易と王朝を動かした人","シャー・ジャハーンは東アジアと中央アジアで王朝政治、草原の交流、紙や印刷、海と陸の交易に関わりました。人と物と考えが広く移動した時代を表します。","🐫","カタログのみ"
"アウラングゼーブ","アウラングゼーブ","交易と王国の時代","東アジアと中央アジア","交易と王朝を動かした人","アウラングゼーブは東アジアと中央アジアで王朝政治、草原の交流、紙や印刷、海と陸の交易に関わりました。人と物と考えが広く移動した時代を表します。","🐫","カタログのみ"
"世宗","世宗","交易と王国の時代","東アジアと中央アジア","交易と王朝を動かした人","世宗は東アジアと中央アジアで王朝政治、草原の交流、紙や印刷、海と陸の交易に関わりました。人と物と考えが広く移動した時代を表します。","🐫","カタログのみ"
"李成桂","李成桂","交易と王国の時代","東アジアと中央アジア","交易と王朝を動かした人","李成桂は東アジアと中央アジアで王朝政治、草原の交流、紙や印刷、海と陸の交易に関わりました。人と物と考えが広く移動した時代を表します。","🐫","カタログのみ"
"新羅の善徳女王","新羅の善徳女王","交易と王国の時代","東アジアと中央アジア","交易と王朝を動かした人","新羅の善徳女王は東アジアと中央アジアで王朝政治、草原の交流、紙や印刷、海と陸の交易に関わりました。人と物と考えが広く移動した時代を表します。","🐫","カタログのみ"
"王建","王建","交易と王国の時代","東アジアと中央アジア","交易と王朝を動かした人","王建は東アジアと中央アジアで王朝政治、草原の交流、紙や印刷、海と陸の交易に関わりました。人と物と考えが広く移動した時代を表します。","🐫","カタログのみ"
